"base_star","star_1","star_2","star_3","star_4","star_5","star_6","star_7","star_8","star_9"
1,"GOOD","BAD","BEST","BEST","BAD","BETTER","BETTER","BAD","BAD"
2,"BAD","GOOD","BAD","BAD","GOOD","BEST","BEST","GOOD","BETTER"
3,"BETTER","BAD","GOOD","GOOD","BAD","BAD","BAD","BAD","BEST"
4,"BETTER","BAD","GOOD","GOOD","BAD","BAD","BAD","BAD","BEST"
5,"BAD","GOOD","BAD","BAD","GOOD","BEST","BEST","GOOD","BETTER"
6,"BEST","BETTER","BAD","BAD","BETTER","GOOD","GOOD","BETTER","BAD"
7,"BEST","BETTER","BAD","BAD","BETTER","GOOD","GOOD","BETTER","BAD"
8,"BAD","GOOD","BAD","BAD","GOOD","BEST","BEST","GOOD","BETTER"
9,"BAD","BEST","BETTER","BETTER","BEST","BAD","BAD","BEST","GOOD"
